Date,Open,High,Low,Close,Adj Close,Volume,sma_5,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,rsi,lowest_low,highest_high,stoch_k,stoch_d,bb_middle,bb_upper,bb_lower,atr,daily_ret_lagged,obv,vwap,roc_5,roc_20,price_volatility,volume_volatility
2020-12-02,205.9900054931641,209.0399932861328,205.97000122070312,208.0,202.3475341796875,2459900,201.3941619873047,193.39568939208985,175.3349609375,197.51085283326407,189.45794931128802,8.052903521976049,8.430884155340221,-0.37798063336417265,56.36447874536596,195.67999267578125,209.8300018310547,34.74504898445566,38.74490039767293,193.39568939208985,213.01639971704748,173.77497906713222,7.817727225167404,0.011180741188686394,53623600,151.48468331147893,0.7918496702370659,19.32880149153209,9.81035516247882,1531965.1941473568
2020-12-03,206.6100006103516,209.44000244140625,206.41000366210935,208.22000122070312,202.56153869628903,2779400,201.41556396484376,194.8367492675781,176.23149963378907,198.25495765579075,190.4127333756139,7.8422242801768505,8.355288028667387,-0.513063748490536,62.14719570938752,198.83999633789065,209.8300018310547,47.120404168935714,33.7455518579215,194.8367492675781,212.44314509154827,177.23035344360795,7.871438162667407,0.008729537092868833,56403000,151.7140811378357,0.05291218862784053,16.60912001190269,8.80319791198508,1563091.6830368424
2020-12-04,209.38999938964844,212.88999938964844,209.38999938964844,212.67999267578125,206.9003448486328,3198800,201.5206268310547,196.30303268432618,177.2076513671875,198.91750858509818,191.3126448808491,7.604863704249084,8.25267527896928,-0.6478115747201958,64.15674016946124,199.88999938964844,212.88999938964844,33.862970866695576,38.57614134002898,196.30303268432618,210.97491224751803,181.63115312113433,7.893467494419639,0.001057608719913894,59601800,152.00252039272175,0.260009972323072,16.928173289858872,7.335939781595931,1573283.4274384994
2020-12-07,211.50999450683597,211.7899932861328,209.3500061035156,211.1000061035156,205.36328125,2595100,202.15684814453124,197.77468719482422,178.2711602783203,200.14563724102658,192.46728932290713,7.678347918119442,8.12311296402524,-0.4447650459057986,64.30403302955537,199.88999938964844,212.88999938964844,53.92573429987981,44.96970311183703,197.77468719482422,210.22843647312388,185.32093791652457,7.275090898786268,0.021419693887935853,62196900,152.05840917666384,1.5615150509207476,16.585082284553,6.226874639149828,1563103.4610586995
2020-12-08,210.32000732421875,213.05999755859372,209.8999938964844,212.07000732421875,206.3069305419922,2302300,203.55382385253907,199.12155685424804,179.25105895996094,200.94835170394558,193.42254798417326,7.525803719772313,8.034159954844082,-0.5083562350717692,53.749594635884606,199.88999938964844,213.05999755859372,42.10216815655048,43.29695777437528,199.12155685424804,208.1085060105578,190.1346076979383,7.539963858468188,-0.00742900452755324,59894600,152.1542737559458,3.5209873880531983,15.097244845539581,4.493474578154878,1575935.4228938378
2020-12-09,212.83999633789065,213.82000732421875,210.72000122070312,212.2400054931641,206.47232055664065,2946400,204.6959259033203,199.8997802734375,180.18882873535156,201.77274844826044,194.37694669215986,7.395801756100582,7.932488707829728,-0.5366869517291466,60.808195645120236,199.88999938964844,213.82000732421875,48.72385758925013,48.25058668189347,199.8997802734375,208.51974113804152,191.27981940883348,7.703761509486605,0.004595024418427629,62841000,152.46121080434995,2.846765782612226,8.159938908033904,4.309980432302015,1265969.0999388574
2020-12-10,210.25,212.8000030517578,210.22000122070312,211.97000122070312,206.20965576171875,2987200,205.52088317871093,200.4446876525879,181.13242462158203,202.4957595418574,195.27290031175104,7.222859230106366,7.8251513174839,-0.6022920873775339,70.51223347671244,200.5,213.82000732421875,47.252817068802734,46.02628093820112,200.4446876525879,209.28825946534192,191.60111583983388,7.62393951416015,0.000801669697736207,65828200,152.65889511492765,2.038466341423417,5.572385871460206,4.421785906377014,1117499.0629926608
2020-12-11,209.5500030517578,215.25999450683597,209.5500030517578,214.6300048828125,208.79736328125,3120700,206.25050659179686,201.10669631958007,182.06882995605469,203.06712819106684,196.083030345082,6.984097845984849,7.704692900008394,-0.7205950540235451,67.93322183366264,203.4199981689453,215.25999450683597,42.865259926226315,46.280644861426396,201.10669631958007,209.56815912691295,192.6452335122472,7.833322797502788,-0.0012721549998264692,62707500,152.88989091812914,1.8009919794791385,6.861278360532541,4.230731403666435,1118406.1037570627
2020-12-14,216.0,216.6999969482422,211.6999969482422,211.8500061035156,206.0929107666016,3345300,206.62991027832032,201.95256729125975,183.0750003051758,203.9487028203258,197.02483278479815,6.923870035527642,7.560573889203685,-0.6367038536760425,72.77311979582932,203.9199981689453,216.6999969482422,45.41694911759313,45.17834203754072,201.95256729125975,209.8969280069794,194.0082065755401,7.769980294363838,0.01254891537436742,66052800,153.13974720992664,0.916875432955444,8.816668951615592,3.972180357859834,1111781.8091504716
2020-12-15,214.0,214.8999938964844,211.8800048828125,214.1699981689453,208.34988403320312,2502500,206.7758361816406,202.4540588378906,183.98970520019532,204.27858096590668,197.69654226493174,6.582038700974948,7.433233118468476,-0.8511944174935282,63.01464101134231,203.9199981689453,216.6999969482422,17.00244761506798,35.094885552962474,202.4540588378906,210.0934667133954,194.81465096238583,7.701235089983257,-0.012952522350607953,63550300,153.15041076474685,0.3552872315637501,5.11561429164018,3.8197039377523896,1093788.479635899
